0.10000,3.00000,3.00000
0.10000,4.00000,3.00000
0.10000,4.00000,4.00000
0.10000,5.00000,3.00000
0.10000,5.00000,4.00000
0.10000,6.00000,3.00000
0.10000,6.00000,4.00000
0.10000,7.00000,3.00000
0.10000,7.00000,4.00000
0.10000,8.00000,3.00000
0.10000,8.00000,4.00000
0.20000,3.00000,3.00000
0.20000,4.00000,3.00000
0.20000,4.00000,4.00000
0.20000,5.00000,3.00000
0.20000,5.00000,4.00000
0.20000,6.00000,3.00000
0.20000,6.00000,4.00000
0.20000,7.00000,3.00000
0.20000,7.00000,4.00000
0.20000,8.00000,3.00000
0.20000,8.00000,4.00000
0.30000,3.00000,3.00000
0.30000,4.00000,3.00000
0.30000,4.00000,4.00000
0.30000,5.00000,3.00000
0.30000,5.00000,4.00000
0.30000,6.00000,3.00000
0.30000,6.00000,4.00000
0.30000,7.00000,3.00000
0.30000,7.00000,4.00000
0.30000,8.00000,3.00000
0.30000,8.00000,4.00000
0.40000,3.00000,3.00000
0.40000,4.00000,3.00000
0.40000,4.00000,4.00000
0.40000,5.00000,3.00000
0.40000,5.00000,4.00000
0.40000,6.00000,3.00000
0.40000,6.00000,4.00000
0.40000,7.00000,3.00000
0.40000,7.00000,4.00000
0.40000,8.00000,3.00000
0.40000,8.00000,4.00000
0.50000,3.00000,3.00000
0.50000,4.00000,3.00000
0.50000,4.00000,4.00000
0.50000,5.00000,3.00000
0.50000,5.00000,4.00000
0.50000,6.00000,3.00000
0.50000,6.00000,4.00000
0.50000,7.00000,3.00000
0.50000,7.00000,4.00000
0.50000,8.00000,3.00000
0.50000,8.00000,4.00000
